Symbol,CMP_Top,CMP_Bot,VR_Top,VR_Bot,CF_Top,CF_Bot
XAUUSD.s,2350,2340,2335,2325,2330,2328
EURUSD.s,1.0900,1.0850,1.0830,1.0800,1.0825,1.0810
